pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
4gwj.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(4_B_)-[FUC(3_B_)-GAL(2_B_)]-NAG(1_B_),B FUC 4 C2 C1 NAG 1 O4 C4,B FUC 4 C1 NAG 1 O4 C4 C5,159.431,263.9101,"(['FUC(4_B_)', 'NAG(1_B_)'], [48.93, 47.83])","(['4.B', '1.B'], ['1C4', '-'])"
7lir.pdb,LFucpa1-4DGlcpNAcb1-ASN,FUC(2_E_)-NAG(1_E_)-ASN(301_A_),E FUC 2 C2 C1 NAG 1 O4 C4,E FUC 2 C1 NAG 1 O4 C4 C5,177.291,297.6345,"(['FUC(2_E_)', 'NAG(1_E_)'], [145.15, 172.98])","(['2.E', '1.E'], ['-', '-'])"
5f9a.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_B_)-[FUC(5_B_)-GAL(4_B_)]-NAG(3_B_)-GAL(2_B_)-GLC(1_B_),B FUC 6 C2 C1 NAG 3 O4 C4,B FUC 6 C1 NAG 3 O4 C4 C5,170.784,232.71699999999998,"(['FUC(6_B_)', 'NAG(3_B_)'], [81.37, 66.6])","(['6.B', '3.B'], ['1C4', '4C1'])"
4ut5.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpa1-ROH,FUC(4_F_)-[GAL(3_F_)]-NAG(2_F_)-GLA(1_F_),F FUC 4 C2 C1 NAG 2 O4 C4,F FUC 4 C1 NAG 2 O4 C4 C5,164.698,264.6081,"(['FUC(4_F_)', 'NAG(2_F_)'], [10.04, 18.85])","(['4.F', '2.F'], ['1C4', '4C1'])"
4ut5.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpa1-ROH,FUC(4_G_)-[GAL(3_G_)]-NAG(2_G_)-GLA(1_G_),G FUC 4 C2 C1 NAG 2 O4 C4,G FUC 4 C1 NAG 2 O4 C4 C5,173.764,260.9703,"(['FUC(4_G_)', 'NAG(2_G_)'], [14.57, 15.25])","(['4.G', '2.G'], ['1C4', '4C1'])"
4ut5.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-ROH,FUC(4_E_)-[GAL(3_E_)]-NAG(2_E_)-GAL(1_E_),E FUC 4 C2 C1 NAG 2 O4 C4,E FUC 4 C1 NAG 2 O4 C4 C5,170.465,262.0237,"(['FUC(4_E_)', 'NAG(2_E_)'], [11.12, 16.85])","(['4.E', '2.E'], ['1C4', '4C1'])"
4ut5.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_H_)-[GAL(2_H_)]-NAG(1_H_),H FUC 3 C2 C1 NAG 1 O4 C4,H FUC 3 C1 NAG 1 O4 C4 C5,167.368,268.4231,"(['FUC(3_H_)', 'NAG(1_H_)'], [18.69, 16.07])","(['3.H', '1.H'], ['1C4', '-'])"
5f9d.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(7_B_)-[GLA(6_B_)-[FUC(5_B_)]-GAL(4_B_)]-NAG(3_B_)-GAL(2_B_)-BGC(1_B_),B FUC 7 C2 C1 NAG 3 O4 C4,B FUC 7 C1 NAG 3 O4 C4 C5,157.027,257.087,"(['FUC(7_B_)', 'NAG(3_B_)'], [144.71, 140.29])","(['7.B', '3.B'], ['-', '4C1'])"
5a6z.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3LArapb1-ROH,FUC(4_E_)-[GAL(3_E_)]-NAG(2_E_)-GLA(1_E_),E FUC 4 C2 C1 NAG 2 O4 C4,E FUC 4 C1 NAG 2 O4 C4 C5,171.868,258.273,"(['FUC(4_E_)', 'NAG(2_E_)'], [11.16, 20.39])","(['4.E', '2.E'], ['1C4', '4C1'])"
5a6z.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-ROH,FUC(4_G_)-[GAL(3_G_)]-NAG(2_G_)-GAL(1_G_),G FUC 4 C2 C1 NAG 2 O4 C4,G FUC 4 C1 NAG 2 O4 C4 C5,169.566,258.387,"(['FUC(4_G_)', 'NAG(2_G_)'], [7.4, 15.6])","(['4.G', '2.G'], ['1C4', '4C1'])"
