pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
5elb.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAca1-ROH,FUC(3_P_)-GAL(2_P_)-[FUC(4_P_)]-NDG(1_P_),P FUC 3 C2 C1 GAL 2 O2 C2,P FUC 3 C1 GAL 2 O2 C2 C3,162.033,262.7928,"(['FUC(3_P_)', 'GAL(2_P_)'], [34.3, 32.94])","(['3.P', '2.P'], ['1C4', '4C1'])"
4p26.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-4DGlcpNAcb1-ROH,A2G(4_G_)-[FUC(3_G_)]-GAL(2_G_)-NAG(1_G_),G FUC 3 C2 C1 GAL 2 O2 C2,G FUC 3 C1 GAL 2 O2 C2 C3,155.738,267.4473,"(['FUC(3_G_)', 'GAL(2_G_)'], [30.46, 37.73])","(['3.G', '2.G'], ['1C4', '4C1'])"
4p26.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-4DGlcpNAcb1-ROH,A2G(4_F_)-[FUC(3_F_)]-GAL(2_F_)-NAG(1_F_),F FUC 3 C2 C1 GAL 2 O2 C2,F FUC 3 C1 GAL 2 O2 C2 C3,157.414,264.4289,"(['FUC(3_F_)', 'GAL(2_F_)'], [21.66, 31.08])","(['3.F', '2.F'], ['1C4', '4C1'])"
4p26.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-4DGlcpNAcb1-ROH,A2G(4_E_)-[FUC(3_E_)]-GAL(2_E_)-NAG(1_E_),E FUC 3 C2 C1 GAL 2 O2 C2,E FUC 3 C1 GAL 2 O2 C2 C3,110.628,303.5498,"(['FUC(3_E_)', 'GAL(2_E_)'], [60.92, 54.95])","(['3.E', '2.E'], ['1C4', '4C1'])"
5dux.pdb,LFucpa1-2DGalpb1-4DGlcpb1-ROH,FUC(3_F_)-GAL(2_F_)-BGC(1_F_),F FUC 3 C2 C1 GAL 2 O2 C2,F FUC 3 C1 GAL 2 O2 C2 C3,172.478,268.3788,"(['FUC(3_F_)', 'GAL(2_F_)'], [46.89, 21.42])","(['3.F', '2.F'], ['1C4', '4C1'])"
5dux.pdb,LFucpa1-2DGalpb1-4DGlcpb1-ROH,FUC(3_E_)-GAL(2_E_)-BGC(1_E_),E FUC 3 C2 C1 GAL 2 O2 C2,E FUC 3 C1 GAL 2 O2 C2 C3,172.67,255.126,"(['FUC(3_E_)', 'GAL(2_E_)'], [32.74, 17.59])","(['3.E', '2.E'], ['1C4', '4C1'])"
6n1b.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B FUC 2 C2 C1 GAL 1 O2 C2,B FUC 2 C1 GAL 1 O2 C2 C3,179.258,260.8666,"(['FUC(2_B_)', 'GAL(1_B_)'], [19.96, 22.98])","(['2.B', '1.B'], ['1C4', '4C1'])"
4x1z.pdb,LFucpa1-2DGalpb1-4DGlcpNAca1-ROH,FUC(3_D_)-GAL(2_D_)-NDG(1_D_),D FUC 3 C2 C1 GAL 2 O2 C2,D FUC 3 C1 GAL 2 O2 C2 C3,171.077,261.7394,"(['FUC(3_D_)', 'GAL(2_D_)'], [32.68, 37.16])","(['3.D', '2.D'], ['1C4', '4C1'])"
4x1z.pdb,LFucpa1-2DGalpb1-4DGlcpNAca1-ROH,FUC(3_C_)-GAL(2_C_)-NDG(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,171.89,262.2752,"(['FUC(3_C_)', 'GAL(2_C_)'], [39.9, 67.71])","(['3.C', '2.C'], ['1C4', '4C1'])"
5f7m.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_E_)-[FUC(5_E_)-GAL(4_E_)]-NAG(3_E_)-GAL(2_E_)-BGC(1_E_),E FUC 5 C2 C1 GAL 4 O2 C2,E FUC 5 C1 GAL 4 O2 C2 C3,173.728,245.22199999999998,"(['FUC(5_E_)', 'GAL(4_E_)'], [18.9, 23.89])","(['5.E', '4.E'], ['1C4', '-'])"
5f7m.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_F_)-[FUC(5_F_)-GAL(4_F_)]-NAG(3_F_)-GAL(2_F_)-BGC(1_F_),F FUC 5 C2 C1 GAL 4 O2 C2,F FUC 5 C1 GAL 4 O2 C2 C3,173.08,256.53,"(['FUC(5_F_)', 'GAL(4_F_)'], [24.15, 24.47])","(['5.F', '4.F'], ['1C4', '4C1'])"
4p25.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_F_)-GAL(2_F_)-[FUC(4_F_)]-NAG(1_F_),F FUC 3 C2 C1 GAL 2 O2 C2,F FUC 3 C1 GAL 2 O2 C2 C3,163.236,254.08100000000002,"(['FUC(3_F_)', 'GAL(2_F_)'], [17.01, 17.4])","(['3.F', '2.F'], ['1C4', '4C1'])"
4p25.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_E_)-GAL(2_E_)-[FUC(4_E_)]-NAG(1_E_),E FUC 3 C2 C1 GAL 2 O2 C2,E FUC 3 C1 GAL 2 O2 C2 C3,165.541,254.51600000000002,"(['FUC(3_E_)', 'GAL(2_E_)'], [22.28, 15.03])","(['3.E', '2.E'], ['1C4', '4C1'])"
4p25.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_G_)-GAL(2_G_)-[FUC(4_G_)]-NAG(1_G_),G FUC 3 C2 C1 GAL 2 O2 C2,G FUC 3 C1 GAL 2 O2 C2 C3,162.743,252.963,"(['FUC(3_G_)', 'GAL(2_G_)'], [15.25, 13.72])","(['3.G', '2.G'], ['1C4', '4C1'])"
4p25.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_H_)-GAL(2_H_)-[FUC(4_H_)]-NAG(1_H_),H FUC 3 C2 C1 GAL 2 O2 C2,H FUC 3 C1 GAL 2 O2 C2 C3,161.92,256.121,"(['FUC(3_H_)', 'GAL(2_H_)'], [17.56, 13.68])","(['3.H', '2.H'], ['1C4', '4C1'])"
2ead.pdb,LFucpa1-2DGalpb1-4DGlcpb1-ROH,FUC(3_C_)-GAL(2_C_)-BGC(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,195.392,296.8019,"(['FUC(3_C_)', 'GAL(2_C_)'], [18.47, 24.55])","(['3.C', '2.C'], ['1C4', '4C1'])"
4wzk.pdb,LFucpa1-2DGalpb1-4DGlcpNAca1-ROH,FUC(3_D_)-GAL(2_D_)-NDG(1_D_),D FUC 3 C2 C1 GAL 2 O2 C2,D FUC 3 C1 GAL 2 O2 C2 C3,165.725,260.9287,"(['FUC(3_D_)', 'GAL(2_D_)'], [30.09, 47.4])","(['3.D', '2.D'], ['1C4', '4C1'])"
4wzk.pdb,LFucpa1-2DGalpb1-4DGlcpNAca1-ROH,FUC(3_C_)-GAL(2_C_)-NDG(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,166.465,260.134,"(['FUC(3_C_)', 'GAL(2_C_)'], [30.36, 48.63])","(['3.C', '2.C'], ['1C4', '4C1'])"
5n7m.pdb,LFucpa1-2DGalpb1-4DGlcpa1-ROH,FUC(3_D_)-GAL(2_D_)-GLC(1_D_),D FUC 3 C2 C1 GAL 2 O2 C2,D FUC 3 C1 GAL 2 O2 C2 C3,156.572,253.386,"(['FUC(3_D_)', 'GAL(2_D_)'], [25.9, 25.65])","(['3.D', '2.D'], ['1C4', '4C1'])"
5n7m.pdb,LFucpa1-2DGalpb1-4DGlcpa1-ROH,FUC(3_C_)-GAL(2_C_)-GLC(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,156.292,254.747,"(['FUC(3_C_)', 'GAL(2_C_)'], [26.99, 28.64])","(['3.C', '2.C'], ['1C4', '4C1'])"
3r6k.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B FUC 2 C2 C1 GAL 1 O2 C2,B FUC 2 C1 GAL 1 O2 C2 C3,175.309,252.954,"(['FUC(2_B_)', 'GAL(1_B_)'], [46.35, 76.13])","(['2.B', '1.B'], ['1C4', '-'])"
5vks.pdb,LFucpa1-2DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(5_D_)-GAL(4_D_)-NAG(3_D_)-GAL(2_D_)-GLC(1_D_),D FUC 5 C2 C1 GAL 4 O2 C2,D FUC 5 C1 GAL 4 O2 C2 C3,171.914,256.211,"(['FUC(5_D_)', 'GAL(4_D_)'], [46.33, 33.05])","(['5.D', '4.D'], ['1C4', '4C1'])"
5vks.pdb,LFucpa1-2DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(5_C_)-GAL(4_C_)-NAG(3_C_)-GAL(2_C_)-GLC(1_C_),C FUC 5 C2 C1 GAL 4 O2 C2,C FUC 5 C1 GAL 4 O2 C2 C3,174.925,259.301,"(['FUC(5_C_)', 'GAL(4_C_)'], [47.38, 32.58])","(['5.C', '4.C'], ['1C4', '4C1'])"
5vx9.pdb,LFucpa1-2DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(5_B_)-GAL(4_B_)-NAG(3_B_)-GAL(2_B_)-BGC(1_B_),B FUC 5 C2 C1 GAL 4 O2 C2,B FUC 5 C1 GAL 4 O2 C2 C3,163.47,257.926,"(['FUC(5_B_)', 'GAL(4_B_)'], [8.11, 9.21])","(['5.B', '4.B'], ['1C4', '4C1'])"
5elc.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_N_)-GAL(2_N_)-[FUC(4_N_)]-NAG(1_N_),N FUC 3 C2 C1 GAL 2 O2 C2,N FUC 3 C1 GAL 2 O2 C2 C3,163.123,277.9339,"(['FUC(3_N_)', 'GAL(2_N_)'], [18.97, 23.35])","(['3.N', '2.N'], ['1C4', '4C1'])"
5elc.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAca1-ROH,FUC(3_S_)-GAL(2_S_)-[FUC(4_S_)]-NDG(1_S_),S FUC 3 C2 C1 GAL 2 O2 C2,S FUC 3 C1 GAL 2 O2 C2 C3,172.682,270.2737,"(['FUC(3_S_)', 'GAL(2_S_)'], [22.91, 29.32])","(['3.S', '2.S'], ['1C4', '4C1'])"
5elc.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAca1-ROH,FUC(3_O_)-GAL(2_O_)-[FUC(4_O_)]-NDG(1_O_),O FUC 3 C2 C1 GAL 2 O2 C2,O FUC 3 C1 GAL 2 O2 C2 C3,164.041,262.5813,"(['FUC(3_O_)', 'GAL(2_O_)'], [28.93, 30.05])","(['3.O', '2.O'], ['1C4', '4C1'])"
5elc.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAca1-ROH,FUC(3_Q_)-GAL(2_Q_)-[FUC(4_Q_)]-NDG(1_Q_),Q FUC 3 C2 C1 GAL 2 O2 C2,Q FUC 3 C1 GAL 2 O2 C2 C3,183.092,246.005,"(['FUC(3_Q_)', 'GAL(2_Q_)'], [30.79, 37.21])","(['3.Q', '2.Q'], ['1C4', '-'])"
5elc.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAca1-ROH,FUC(3_K_)-GAL(2_K_)-[FUC(4_K_)]-NDG(1_K_),K FUC 3 C2 C1 GAL 2 O2 C2,K FUC 3 C1 GAL 2 O2 C2 C3,164.897,261.4227,"(['FUC(3_K_)', 'GAL(2_K_)'], [23.86, 36.4])","(['3.K', '2.K'], ['1C4', '4C1'])"
5elc.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_P_)-GAL(2_P_)-[FUC(4_P_)]-NAG(1_P_),P FUC 3 C2 C1 GAL 2 O2 C2,P FUC 3 C1 GAL 2 O2 C2 C3,168.903,272.9203,"(['FUC(3_P_)', 'GAL(2_P_)'], [21.19, 22.11])","(['3.P', '2.P'], ['1C4', '4C1'])"
3ass.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-C6N1O3,FUC(4_C_)-[FUC(3_C_)-GAL(2_C_)]-NAG(1_C_)-NPO(1001_A_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,161.043,251.191,"(['FUC(3_C_)', 'GAL(2_C_)'], [23.34, 21.94])","(['3.C', '2.C'], ['1C4', '4C1'])"
