pdb,phi site,psi site,phi,psi
4tnh.pdb,d DGD 409 C2E C1E O5D C6D,d DGD 409 C1E O5D C6D C5D,228.485,193.302
4tnh.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,203.743,201.072
4tnh.pdb,b DGD 601 C2E C1E O5D C6D,b DGD 601 C1E O5D C6D C5D,265.7593,222.621
4tnh.pdb,c DGD 515 C2E C1E O5D C6D,c DGD 515 C1E O5D C6D C5D,241.074,256.796
4tnh.pdb,A DGD 408 C2E C1E O5D C6D,A DGD 408 C1E O5D C6D C5D,217.546,129.977
4tnh.pdb,B DGD 620 C2E C1E O5D C6D,B DGD 620 C1E O5D C6D C5D,239.84,168.821
5e79.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,217.572,117.494
5e79.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,224.85,277.663
5e79.pdb,C DGD 515 C2E C1E O5D C6D,C DGD 515 C1E O5D C6D C5D,224.226,128.236
5e79.pdb,d DGD 405 C2E C1E O5D C6D,d DGD 405 C1E O5D C6D C5D,241.09699999999998,167.206
5e79.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,189.079,207.642
5e79.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,231.142,286.70799999999997
5e79.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,168.325,170.926
5e79.pdb,E DGD 101 C2E C1E O5D C6D,E DGD 101 C1E O5D C6D C5D,234.926,173.703
5e79.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,198.29,209.935
5e79.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,180.654,161.674
4xk8.pdb,B DGD 850 C2E C1E O5D C6D,B DGD 850 C1E O5D C6D C5D,192.771,210.932
4xk8.pdb,b DGD 849 C2E C1E O5D C6D,b DGD 849 C1E O5D C6D C5D,190.782,209.875
5gth.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,223.701,125.968
5gth.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,226.43,272.8591
5gth.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,186.989,164.084
5gth.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,202.68,200.91
5gth.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,231.193,125.604
5gth.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,199.095,205.418
5gth.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,224.035,275.7799
5gth.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,193.293,167.434
7dkz.pdb,B DGD 850 C2E C1E O5D C6D,B DGD 850 C1E O5D C6D C5D,211.378,205.239
7dkz.pdb,4 DGD 323 C2E C1E O5D C6D,4 DGD 323 C1E O5D C6D C5D,295.8731,326.4618
7m78.pdb,L DGD 207 C2E C1E O5D C6D,L DGD 207 C1E O5D C6D C5D,273.5548,235.80700000000002
6jo6.pdb,B DGD 850 C2E C1E O5D C6D,B DGD 850 C1E O5D C6D C5D,202.102,182.451
8f4e.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,187.923,204.847
8f4e.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,230.509,275.9219
8f4e.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,216.399,120.598
8f4e.pdb,H DGD 103 C2E C1E O5D C6D,H DGD 103 C1E O5D C6D C5D,181.68,183.138
8f4e.pdb,c DGD 519 C2E C1E O5D C6D,c DGD 519 C1E O5D C6D C5D,186.852,208.125
8f4e.pdb,A DGD 616 C2E C1E O5D C6D,A DGD 616 C1E O5D C6D C5D,224.101,193.101
8f4e.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,214.1,117.366
8f4e.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,223.666,279.2309
8f4e.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,201.853,154.341
6khj.pdb,A DGD 401 C2E C1E O5D C6D,A DGD 401 C1E O5D C6D C5D,187.211,223.82
6khj.pdb,A DGD 402 C2E C1E O5D C6D,A DGD 402 C1E O5D C6D C5D,192.128,145.942
7ksq.pdb,B DGD 5002 C2E C1E O5D C6,B DGD 5002 C1E O5D C6D C5,234.45999999999998,237.292
4pj0.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,212.85,129.323
4pj0.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,223.056,266.6969
4pj0.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,229.68,264.4337
4pj0.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,194.383,162.276
4pj0.pdb,c DGD 515 C2E C1E O5D C6D,c DGD 515 C1E O5D C6D C5D,217.287,122.385
4pj0.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,194.216,205.488
4pj0.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,192.845,204.216
4pj0.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,192.834,168.458
8gn2.pdb,h DGD 1205 C2E C1E O5D C6,h DGD 1205 C1E O5D C6D C5,197.721,163.372
8gn2.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,216.905,127.046
8gn2.pdb,c DGD 519 C2E C1E O5D C6D,c DGD 519 C1E O5D C6D C5D,219.814,277.467
8gn2.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,197.15,164.33
8gn2.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,221.254,281.4715
8gn2.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,219.491,123.163
8gn2.pdb,c DGD 520 C2E C1E O5D C6D,c DGD 520 C1E O5D C6D C5D,195.549,212.612
8gn2.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,202.531,206.573
7blx.pdb,B DGD 5003 C2E C1E O5D C6,B DGD 5003 C1E O5D C6D C5,220.121,183.458
8eqm.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,221.888,126.426
8eqm.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,221.918,126.374
7cjj.pdb,h DGD 103 C2E C1E O5D C6D,h DGD 103 C1E O5D C6D C5D,201.641,163.399
7cjj.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,194.782,167.771
7cjj.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,233.777,263.1517
7cjj.pdb,C DGD 520 C2E C1E O5D C6D,C DGD 520 C1E O5D C6D C5D,189.501,206.231
7cjj.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,223.492,126.71
7cjj.pdb,c DGD 520 C2E C1E O5D C6D,c DGD 520 C1E O5D C6D C5D,189.056,216.056
7cjj.pdb,c DGD 519 C2E C1E O5D C6D,c DGD 519 C1E O5D C6D C5D,220.7,276.5864
7cjj.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,214.852,130.56
8c29.pdb,C DGD 515 C2E C1E O5D C6D,C DGD 515 C1E O5D C6D C5D,205.016,131.864
8c29.pdb,H DGD 502 C2E C1E O5D C6D,H DGD 502 C1E O5D C6D C5D,221.991,178.266
8c29.pdb,d DGD 411 C2E C1E O5D C6D,d DGD 411 C1E O5D C6D C5D,246.31,180.755
8c29.pdb,c DGD 515 C2E C1E O5D C6D,c DGD 515 C1E O5D C6D C5D,203.635,130.986
7m75.pdb,L DGD 206 C2E C1E O5D C6D,L DGD 206 C1E O5D C6D C5D,251.906,242.808
7d0j.pdb,B DGD 848 C2E C1E O5D C6D,B DGD 848 C1E O5D C6D C5D,215.94,130.988
7d0j.pdb,B DGD 846 C2E C1E O5D C6D,B DGD 846 C1E O5D C6D C5D,202.838,187.792
4tnj.pdb,b DGD 624 C2E C1E O5D C6D,b DGD 624 C1E O5D C6D C5D,241.651,168.639
4tnj.pdb,C DGD 515 C2E C1E O5D C6D,C DGD 515 C1E O5D C6D C5D,240.659,258.26099999999997
4tnj.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,205.119,201.107
4tnj.pdb,D DGD 409 C2E C1E O5D C6D,D DGD 409 C1E O5D C6D C5D,229.848,193.132
4tnj.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,218.763,117.968
4tnj.pdb,c DGD 515 C2E C1E O5D C6D,c DGD 515 C1E O5D C6D C5D,240.507,257.624
4tnj.pdb,B DGD 625 C2E C1E O5D C6D,B DGD 625 C1E O5D C6D C5D,265.6171,224.341
4tnj.pdb,a DGD 411 C2E C1E O5D C6D,a DGD 411 C1E O5D C6D C5D,218.356,129.348
4tnj.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,204.651,200.988
4tnj.pdb,d DGD 408 C2E C1E O5D C6D,d DGD 408 C1E O5D C6D C5D,228.047,192.293
4tnj.pdb,B DGD 620 C2E C1E O5D C6D,B DGD 620 C1E O5D C6D C5D,240.505,167.945
4tnj.pdb,b DGD 601 C2E C1E O5D C6D,b DGD 601 C1E O5D C6D C5D,265.9147,223.462
4tnj.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,219.515,116.513
4tnj.pdb,A DGD 408 C2E C1E O5D C6D,A DGD 408 C1E O5D C6D C5D,218.428,129.147
7ewk.pdb,J DGD 104 C2E C1E O5D C6D,J DGD 104 C1E O5D C6D C5D,246.875,203.126
7ewk.pdb,B DGD 851 C2E C1E O5D C6D,B DGD 851 C1E O5D C6D C5D,209.781,246.414
4ub6.pdb,c DGD 918 C2E C1E O5D C6D,c DGD 918 C1E O5D C6D C5D,194.537,213.248
4ub6.pdb,d DGD 406 C2E C1E O5D C6D,d DGD 406 C1E O5D C6D C5D,274.4662,140.583
4ub6.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,195.577,210.183
4ub6.pdb,D DGD 405 C2E C1E O5D C6D,D DGD 405 C1E O5D C6D C5D,288.5691,188.233
4ub6.pdb,c DGD 917 C2E C1E O5D C6D,c DGD 917 C1E O5D C6D C5D,222.587,272.67719999999997
4ub6.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,207.043,162.819
4ub6.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,222.554,120.372
4ub6.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,222.498,273.8733
4ub6.pdb,c DGD 916 C2E C1E O5D C6D,c DGD 916 C1E O5D C6D C5D,216.204,133.185
4ub6.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,187.863,162.93
7bgi.pdb,B DGD 5003 C2E C1E O5D C6,B DGD 5003 C1E O5D C6D C5,213.625,180.178
6jlo.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,206.72,158.232
